Address,Parcel ID,Contractor Name,Price,Projected Demolished By Date,Commercial Building,Council_District,Latitude,Longitude,Location,Neighborhood
4189 Dickerson,21049237.,DMC Consultants,$32543.00,12/19/2017,No,4,42.386542,-82.963549,"location
(42.386542, -82.963549)",Fox Creek
4159 Dickerson,21049241.,DMC Consultants,$29592.00,12/19/2017,No,4,42.386196,-82.963324,"location
(42.386196, -82.963324)",Fox Creek
4137 Dickerson,21049244.,DMC Consultants,$35637.00,12/19/2017,No,4,42.385937,-82.963155,"location
(42.385937, -82.963155)",Fox Creek
3495 Dickerson,21049265.,DMC Consultants,$25787.00,12/19/2017,No,4,42.383332,-82.961454,"location
(42.383332, -82.961454)",Riverbend
3433 Dickerson,21049274.,DMC Consultants,$24400.00,12/19/2017,No,4,42.382553,-82.960947,"location
(42.382553, -82.960947)",Riverbend
2635 Dickerson,21049307.,DMC Consultants,$32500.00,12/19/2017,No,4,42.379149,-82.958711,"location
(42.379149, -82.958711)",Riverbend
2629 Dickerson,21049308.,DMC Consultants,$31647.00,12/19/2017,No,4,42.379062,-82.958655,"location
(42.379062, -82.958655)",Riverbend
2615 Dickerson,21049310.,DMC Consultants,$16495.00,12/19/2017,No,4,42.378889,-82.958542,"location
(42.378889, -82.958542)",Riverbend
14210 Loretto,21012226.,"Adamo Group, Inc.",$11458.00,11/13/2017,No,4,42.419886,-82.977275,"location
(42.419886, -82.977275)",Eden Gardens
13320 Loretto,21012244.,"Adamo Group, Inc.",$15906.00,11/13/2017,No,4,42.418994,-82.979808,"location
(42.418994, -82.979808)",Eden Gardens
13308 Loretto,21012245.,"Adamo Group, Inc.",$14439.00,11/13/2017,No,4,42.418946,-82.979942,"location
(42.418946, -82.979942)",Eden Gardens
5895 Harrell,21036863.,"Adamo Group, Inc.",$12892.00,11/13/2017,No,4,42.39671,-82.981933,"location
(42.39671, -82.981933)",Chandler Park
13082 Glenfield,21010464.,"Adamo Group, Inc.",$13732.00,11/13/2017,No,4,42.415077,-82.979389,"location
(42.415077, -82.979389)",Eden Gardens
12754 Glenfield,21010486.,"Adamo Group, Inc.",$11107.00,11/13/2017,No,4,42.413965,-82.98255,"location
(42.413965, -82.98255)",Eden Gardens
12746 Glenfield,21010487.,"Adamo Group, Inc.",$11873.00,11/13/2017,No,4,42.413921,-82.982683,"location
(42.413921, -82.982683)",Eden Gardens
12738 Glenfield,21010488.,"Adamo Group, Inc.",$37099.00,11/13/2017,No,4,42.413873,-82.982816,"location
(42.413873, -82.982816)",Eden Gardens
12554 Glenfield,21010505.,"Adamo Group, Inc.",$23604.00,11/13/2017,No,4,42.412982,-82.985343,"location
(42.412982, -82.985343)",Eden Gardens
12534 Glenfield,21010507.,"Adamo Group, Inc.",$28043.00,11/13/2017,No,4,42.412888,-82.98561,"location
(42.412888, -82.98561)",Eden Gardens
12510 Glenfield,21010510.,"Adamo Group, Inc.",$11662.00,11/13/2017,No,4,42.412759,-82.985977,"location
(42.412759, -82.985977)",Eden Gardens
11680 Rutherford,22055808.,"Adamo Group, Inc.",$12510.00,11/13/2017,No,7,42.373749,-83.202064,"location
(42.373749, -83.202064)",Plymouth-I96
11700 Rutherford,22055811.,"Adamo Group, Inc.",$12312.00,11/13/2017,No,7,42.374032,-83.202075,"location
(42.374032, -83.202075)",Plymouth-I96
14308 Glenfield,21010422.,"Adamo Group, Inc.",$15655.00,11/13/2017,No,4,42.417138,-82.973509,"location
(42.417138, -82.973509)",Eden Gardens
13416 Glenfield,21010440.,"Adamo Group, Inc.",$18535.00,11/13/2017,No,4,42.416242,-82.976079,"location
(42.416242, -82.976079)",Eden Gardens
13140 Glenfield,21010456.,"Adamo Group, Inc.",$18769.00,11/13/2017,No,4,42.415438,-82.978364,"location
(42.415438, -82.978364)",Eden Gardens
2927 Lenox,21050085.,DMC Consultants,$21130.00,12/19/2017,No,4,42.380617,-82.958407,"location
(42.380617, -82.958407)",Riverbend
8235 Mansfield,22058032-3,Blue Star,$16300.00,11/14/2017,No,7,42.353187,-83.20319,"location
(42.353187, -83.20319)",Warren Ave Community
13017 Flanders,21011570.,"Adamo Group, Inc.",$12149.00,11/13/2017,No,4,42.416669,-82.981773,"location
(42.416669, -82.981773)",Eden Gardens
13321 Flanders,21011592.,"Adamo Group, Inc.",$11158.00,11/13/2017,No,4,42.417669,-82.978926,"location
(42.417669, -82.978926)",Eden Gardens
13335 Flanders,21011594.,"Adamo Group, Inc.",$17263.00,11/13/2017,No,4,42.417751,-82.978698,"location
(42.417751, -82.978698)",Eden Gardens
13347 Flanders,21011596.,"Adamo Group, Inc.",$16421.00,11/13/2017,No,4,42.417821,-82.978494,"location
(42.417821, -82.978494)",Eden Gardens
13399 Flanders,21011605.,"Adamo Group, Inc.",$15351.00,11/13/2017,No,4,42.418139,-82.977591,"location
(42.418139, -82.977591)",Eden Gardens
12751 Chelsea,21008188.,"Adamo Group, Inc.",$30378.00,11/13/2017,No,4,42.408964,-82.979465,"location
(42.408964, -82.979465)",Wade
13129 Chelsea,21008224.,Homrich,$17962.00,11/26/2017,No,4,42.410354,-82.975451,"location
(42.410354, -82.975451)",Outer Drive-Hayes
13147 Chelsea,21008227.,Homrich,$15771.00,11/26/2017,No,4,42.410458,-82.975149,"location
(42.410458, -82.975149)",Outer Drive-Hayes
12846 Jane,21011741.,"Adamo Group, Inc.",$10606.00,11/13/2017,No,4,42.416899,-82.982604,"location
(42.416899, -82.982604)",Eden Gardens
12838 Jane,21011742.,"Adamo Group, Inc.",$14671.00,11/13/2017,No,4,42.416859,-82.982715,"location
(42.416859, -82.982715)",Eden Gardens
1427 Eastlawn,21053373.,DMC Consultants,$16173.00,12/19/2017,No,4,42.376948,-82.951142,"location
(42.376948, -82.951142)",Riverbend
14620 Stansbury,22033345.,DMC Consultants,$15340.00,10/29/2017,No,2,42.396515,-83.181723,"location
(42.396515, -83.181723)",Bethune Community
14932 Stansbury,22033369.,DMC Consultants,$14433.00,10/29/2017,No,2,42.399091,-83.181837,"location
(42.399091, -83.181837)",Bethune Community
15846 Stansbury,22033446.,Salenbien Trucking & Excavating Inc.,$9295.00,12/19/2017,No,2,42.408189,-83.182236,"location
(42.408189, -83.182236)",Bethune Community
15787 Stansbury,22033922.,DMC Consultants,$14456.25,10/29/2017,No,2,42.407288,-83.182855,"location
(42.407288, -83.182855)",Bethune Community
15455 Stansbury,22033948.,DMC Consultants,$14960.50,10/29/2017,No,2,42.404607,-83.182734,"location
(42.404607, -83.182734)",Bethune Community
12079 Hubbell,22040168.,"Adamo Group, Inc.",$14334.00,11/13/2017,No,7,42.37616,-83.188206,"location
(42.37616, -83.188206)",Plymouth-Hubbell
12055 Hubbell,22040171.,"Adamo Group, Inc.",$10962.00,11/13/2017,No,7,42.375831,-83.188192,"location
(42.375831, -83.188192)",Plymouth-Hubbell
12045 Hubbell,22040172.,"Adamo Group, Inc.",$11170.00,11/13/2017,No,7,42.375721,-83.188187,"location
(42.375721, -83.188187)",Plymouth-Hubbell
12039 Hubbell,22040173.,"Adamo Group, Inc.",$13332.00,11/13/2017,No,7,42.375611,-83.188182,"location
(42.375611, -83.188182)",Plymouth-Hubbell
12834 Filbert,21012677.,"Adamo Group, Inc.",$17881.00,11/13/2017,No,4,42.418457,-82.9839,"location
(42.418457, -82.9839)",Eden Gardens
14992 Kilbourne,21009843.,Homrich,$16136.00,11/26/2017,No,4,42.416439,-82.96533,"location
(42.416439, -82.96533)",Outer Drive-Hayes
14952 Kilbourne,21009849.,Homrich,$9441.00,11/26/2017,No,4,42.416433,-82.966108,"location
(42.416433, -82.966108)",Outer Drive-Hayes
14942 Kilbourne,21009850.,Homrich,$10270.00,11/26/2017,No,4,42.416433,-82.966237,"location
(42.416433, -82.966237)",Outer Drive-Hayes
