Address,Parcel ID,Contractor Name,Price,Demolition Date,Commercial Building,Council_District,Latitude,Longitude,Location,Neighborhood
19636 Lyndon,22010430-1,Rickman Enterprise Group,$12110.00,10/09/2015,No,1,42.393775,-83.235576,"19636 Lyndon
(42.393775, -83.235576)",Westwood Park
19639 Teppert,17015065.,MCM,$18960.44,08/06/2014,No,3,42.439197,-83.008299,"19639 Teppert
(42.439197, -83.008299)",Pulaski
19640 Anglin,13024254.,DMC Consultants,$8112.00,06/10/2016,No,3,42.438484,-83.074551,"19640 Anglin
(42.438484, -83.074551)",Pershing
19640 Healy,13017720-1,"Adamo Group, Inc.",$6712.00,11/24/2014,No,3,42.438869,-83.055816,"19640 Healy
(42.438869, -83.055816)",Farwell
19640 Norwood,13022178-9,Able Demolition,$8686.00,05/16/2016,No,3,42.438596,-83.067204,"19640 Norwood
(42.438596, -83.067204)",Pershing
19641 Carrie,15008432.,Homrich,$11356.88,08/02/2014,No,3,42.439386,-83.031259,"19641 Carrie
(42.439386, -83.031259)",Nortown
19641 Gable,13012546.,Timesavers Contracting,$13307.00,09/30/2015,No,3,42.439044,-83.043209,"19641 Gable
(42.439044, -83.043209)",Farwell
19644 Kingsville,21080314.,"Adamo Group, Inc.",$6218.00,03/29/2016,No,4,42.430747,-82.939623,"19644 Kingsville
(42.430747, -82.939623)",Moross-Morang
19645 Albion,17014333.,"Adamo Group, Inc.",$14501.70,08/06/2014,No,3,42.439346,-83.00623,"19645 Albion
(42.439346, -83.00623)",Pulaski
19645 Hoover,17013876.,"Adamo Group, Inc.",$12058.38,08/21/2014,No,3,42.439355,-83.005196,"19645 Hoover
(42.439355, -83.005196)",Pulaski
19647 Fleming,09014722.,"Adamo Group, Inc.",$7953.00,11/13/2014,No,3,42.438466,-83.079732,"19647 Fleming
(42.438466, -83.079732)",Nolan
19647 Runyon,17014700.,MCM,$15391.11,08/06/2014,No,3,42.439317,-83.007258,"19647 Runyon
(42.439317, -83.007258)",Pulaski
19648 Hoover,21036307.,"Adamo Group, Inc.",$8328.31,08/11/2014,No,3,42.439427,-83.004521,"19648 Hoover
(42.439427, -83.004521)",Pulaski
19648 Omira,09022772.,"Adamo Group, Inc.",$10139.00,06/22/2015,No,3,42.438112,-83.095815,"19648 Omira
(42.438112, -83.095815)",Nolan
19650 Beland,17015391.,Homrich,$15367.38,07/30/2014,No,3,42.439324,-83.008742,"19650 Beland
(42.439324, -83.008742)",Pulaski
19651 Hoover,17013874-5,"Adamo Group, Inc.",$11978.32,08/21/2014,No,3,42.439468,-83.0052,"19651 Hoover
(42.439468, -83.0052)",Pulaski
19655 Mccormick,21079984.,Homrich,$21859.98,09/09/2014,No,4,42.430421,-82.939699,"19655 Mccormick
(42.430421, -82.939699)",Moross-Morang
19655 Reno,21029377.,Rickman Enterprise Group,$19940.00,08/14/2015,No,3,42.440404,-82.983205,"19655 Reno
(42.440404, -82.983205)",Franklin
19656 Hoover,21036308.,Rickman Enterprise Group,$14290.00,04/04/2016,No,3,42.439537,-83.004525,"19656 Hoover
(42.439537, -83.004525)",Pulaski
19657 Binder,13021341-2,DMC Consultants,$8736.00,08/10/2015,No,3,42.438869,-83.064752,"19657 Binder
(42.438869, -83.064752)",Pershing
19657 Runyon,17014698-9,MCM,$17026.21,08/05/2014,No,3,42.439461,-83.007262,"19657 Runyon
(42.439461, -83.007262)",Pulaski
19660 Teppert,17015023.,MCM,$13781.73,08/04/2014,No,3,42.439497,-83.007711,"19660 Teppert
(42.439497, -83.007711)",Pulaski
19661 Gable,13012541-3,Rickman Enterprise Group,$13870.00,02/07/2017,No,3,42.439414,-83.043246,"19661 Gable
(42.439414, -83.043246)",Farwell
19662 Beland,17015392.,"Adamo Group, Inc.",$18614.34,08/13/2014,No,3,42.439455,-83.008747,"19662 Beland
(42.439455, -83.008747)",Pulaski
19665 Albion,17014330.,"Adamo Group, Inc.",$14740.46,08/06/2014,No,3,42.439582,-83.006235,"19665 Albion
(42.439582, -83.006235)",Pulaski
19665 Teppert,17015061.,MCM,$12308.98,07/30/2014,No,3,42.439558,-83.008308,"19665 Teppert
(42.439558, -83.008308)",Pulaski
19666 Teppert,17015024.,MCM,$10504.49,08/04/2014,No,3,42.439592,-83.007715,"19666 Teppert
(42.439592, -83.007715)",Pulaski
1967 Dearing,09006185.,Able Demolition,$20129.30,06/22/2015,No,3,42.408931,-83.075512,"1967 Dearing
(42.408931, -83.075512)",Campau/Banglatown
19674 Albion,17014294.,"Adamo Group, Inc.",$8198.69,09/05/2014,No,3,42.439756,-83.005642,"19674 Albion
(42.439756, -83.005642)",Pulaski
19675 Carrie,15008428.,Homrich,$12938.47,07/28/2014,No,3,42.439825,-83.031275,"19675 Carrie
(42.439825, -83.031275)",Nortown
