date,district,latitude,longitude
10/25/2017,4,42.406616,-82.986214
11/13/2017,2,42.399288,-83.165232
11/13/2017,4,42.416465,-82.982334
11/13/2017,4,42.416628,-82.98189
09/22/2017,7,42.373102,-83.209301
11/09/2017,7,42.373198,-83.209303
11/13/2017,7,42.381854,-83.142281
12/19/2017,4,42.379456,-82.953341
11/13/2017,7,42.367968,-83.201824
11/13/2017,7,42.368064,-83.201827
11/13/2017,7,42.36864,-83.201847
11/13/2017,4,42.413851,-82.981483
11/13/2017,4,42.416947,-82.971436
11/26/2017,4,42.41691,-82.966649
11/26/2017,4,42.416912,-82.96652
11/13/2017,7,42.383909,-83.1419
11/13/2017,4,42.416165,-82.981561
11/13/2017,4,42.41592,-82.982243
11/06/2017,4,42.399866,-82.989078
11/13/2017,4,42.376909,-82.992717
11/06/2017,4,42.406246,-82.985464
11/06/2017,4,42.404561,-82.990294
11/13/2017,7,42.375023,-83.196843
11/13/2017,7,42.373632,-83.19679
11/13/2017,7,42.37475,-83.176489
11/13/2017,2,42.399743,-83.166823
11/13/2017,4,42.38055,-82.991063
11/13/2017,4,42.381794,-82.991922
11/13/2017,4,42.419564,-82.983206
10/29/2017,2,42.405558,-83.164466
11/13/2017,7,42.370915,-83.202609
11/13/2017,7,42.37082,-83.202606
11/13/2017,7,42.368659,-83.202529
11/13/2017,7,42.374467,-83.198472
11/13/2017,7,42.375903,-83.198534
11/26/2017,5,42.375652,-83.000712
11/13/2017,4,42.379622,-82.998102
11/06/2017,4,42.373225,-82.994554
11/13/2017,7,42.373297,-83.200855
11/13/2017,7,42.373483,-83.200861
11/13/2017,4,42.385153,-82.99913
11/13/2017,4,42.384784,-82.998883
11/13/2017,4,42.38151,-82.996632
11/13/2017,4,42.378199,-82.994422
11/13/2017,4,42.37591,-82.992889
11/13/2017,4,42.375103,-82.992349
11/13/2017,4,42.375029,-82.9923
12/19/2017,2,42.396014,-83.175263
10/29/2017,2,42.405072,-83.175715
12/19/2017,1,42.396794,-83.190964
12/19/2017,1,42.396706,-83.190961
11/13/2017,7,42.383624,-83.146624
11/13/2017,7,42.378237,-83.174183
11/13/2017,7,42.378922,-83.174207
09/25/2017,5,42.375162,-83.00075
11/26/2017,5,42.375006,-83.001141
11/26/2017,5,42.375573,-83.000914
11/13/2017,4,42.387362,-82.996497
11/13/2017,4,42.387289,-82.996447
11/06/2017,4,42.400647,-82.989465
11/06/2017,4,42.400778,-82.990524
11/13/2017,4,42.415857,-82.981363
09/26/2017,1,42.404813,-83.185913
09/26/2017,1,42.404621,-83.185906
09/25/2017,1,42.403466,-83.185855
09/25/2017,1,42.403166,-83.185842
11/01/2017,1,42.395328,-83.185514
11/13/2017,4,42.3799,-82.996992
10/29/2017,2,42.400477,-83.180426
10/29/2017,2,42.40018,-83.180412
11/19/2017,7,42.39041,-83.183733
11/06/2017,4,42.40362,-82.991507
11/06/2017,4,42.404656,-82.988481
11/06/2017,4,42.40482,-82.988004
11/06/2017,4,42.406267,-82.983852
11/13/2017,4,42.407256,-82.981034
11/13/2017,4,42.407303,-82.9809
10/09/2017,7,42.374482,-83.208138
10/10/2017,7,42.375221,-83.208169
10/10/2017,7,42.375701,-83.20819
10/10/2017,7,42.376085,-83.208206
10/10/2017,7,42.376181,-83.20821
11/09/2017,7,42.376749,-83.208905
11/13/2017,4,42.403875,-82.981511
10/25/2017,7,42.363984,-83.197948
11/19/2017,5,42.386349,-83.005961
11/13/2017,5,42.384106,-83.004342
11/13/2017,5,42.383445,-83.003875
10/03/2017,1,42.393763,-83.187056
10/04/2017,1,42.407626,-83.188355
10/04/2017,1,42.407516,-83.18835
10/03/2017,1,42.407407,-83.188346
10/04/2017,1,42.406932,-83.188326
10/03/2017,1,42.404326,-83.188201
11/13/2017,4,42.405614,-82.974989
11/13/2017,4,42.416964,-82.976778
11/13/2017,4,42.416569,-82.977901
11/13/2017,4,42.415539,-82.980831
10/11/2017,7,42.376798,-83.206947
11/26/2017,4,42.410975,-82.967367
11/13/2017,4,42.408299,-82.976065
11/13/2017,4,42.40661,-82.980954
11/13/2017,7,42.367895,-83.18001
11/13/2017,7,42.369274,-83.179916
11/13/2017,7,42.369043,-83.18064
11/13/2017,4,42.417314,-82.983301
11/13/2017,4,42.417541,-82.982635
11/13/2017,4,42.417668,-82.98227
11/13/2017,5,42.383938,-83.006139
11/26/2017,4,42.411356,-82.979043
11/26/2017,4,42.411648,-82.978198
11/26/2017,4,42.411875,-82.977544
11/26/2017,4,42.412579,-82.975521
11/26/2017,4,42.412756,-82.975012
11/26/2017,4,42.412972,-82.97439
11/26/2017,4,42.413559,-82.972632
12/19/2017,1,42.396782,-83.191394
12/19/2017,1,42.397107,-83.191409
12/19/2017,1,42.397091,-83.191964
12/19/2017,1,42.396293,-83.191929
12/19/2017,1,42.396197,-83.191925
11/26/2017,4,42.413606,-82.972503
11/26/2017,4,42.413747,-82.972114
11/26/2017,4,42.413979,-82.97147
11/26/2017,4,42.414157,-82.969414
11/26/2017,4,42.414127,-82.968657
11/26/2017,4,42.414122,-82.968527
11/26/2017,4,42.414117,-82.968398
11/26/2017,4,42.413993,-82.966597
12/19/2017,4,42.386542,-82.963549
12/19/2017,4,42.386196,-82.963324
12/19/2017,4,42.385937,-82.963155
12/19/2017,4,42.383332,-82.961454
12/19/2017,4,42.382553,-82.960947
12/19/2017,4,42.379149,-82.958711
12/19/2017,4,42.379062,-82.958655
12/19/2017,4,42.378889,-82.958542
11/13/2017,4,42.419886,-82.977275
11/13/2017,4,42.418994,-82.979808
11/13/2017,4,42.418946,-82.979942
11/13/2017,4,42.39671,-82.981933
11/13/2017,4,42.415077,-82.979389
11/13/2017,4,42.413965,-82.98255
11/13/2017,4,42.413921,-82.982683
11/13/2017,4,42.413873,-82.982816
11/13/2017,4,42.412982,-82.985343
11/13/2017,4,42.412888,-82.98561
11/13/2017,4,42.412759,-82.985977
11/13/2017,7,42.373749,-83.202064
11/13/2017,7,42.374032,-83.202075
11/13/2017,4,42.417138,-82.973509
11/13/2017,4,42.416242,-82.976079
11/13/2017,4,42.415438,-82.978364
12/19/2017,4,42.380617,-82.958407
11/14/2017,7,42.353187,-83.20319
11/13/2017,4,42.416669,-82.981773
11/13/2017,4,42.417669,-82.978926
11/13/2017,4,42.417751,-82.978698
11/13/2017,4,42.417821,-82.978494
11/13/2017,4,42.418139,-82.977591
11/13/2017,4,42.408964,-82.979465
11/26/2017,4,42.410354,-82.975451
11/26/2017,4,42.410458,-82.975149
11/13/2017,4,42.416899,-82.982604
11/13/2017,4,42.416859,-82.982715
12/19/2017,4,42.376948,-82.951142
10/29/2017,2,42.396515,-83.181723
10/29/2017,2,42.399091,-83.181837
12/19/2017,2,42.408189,-83.182236
10/29/2017,2,42.407288,-83.182855
10/29/2017,2,42.404607,-83.182734
11/13/2017,7,42.37616,-83.188206
11/13/2017,7,42.375831,-83.188192
11/13/2017,7,42.375721,-83.188187
11/13/2017,7,42.375611,-83.188182
11/13/2017,4,42.418457,-82.9839
11/26/2017,4,42.416439,-82.96533
11/26/2017,4,42.416433,-82.966108
11/26/2017,4,42.416433,-82.966237
11/26/2017,4,42.416432,-82.967009
11/26/2017,4,42.416431,-82.968861
11/13/2017,4,42.413207,-82.981393
11/14/2017,7,42.373578,-83.203267
11/14/2017,7,42.37377,-83.203274
11/14/2017,7,42.374346,-83.203294
11/14/2017,7,42.374796,-83.20331
11/14/2017,7,42.374906,-83.203314
11/13/2017,7,42.374075,-83.179591
11/06/2017,4,42.398665,-82.988741
11/26/2017,5,42.376298,-82.999355
11/26/2017,5,42.37682,-82.99976
11/26/2017,5,42.376893,-82.999812
11/26/2017,5,42.376966,-82.999864
11/13/2017,5,42.380737,-83.002541
11/13/2017,5,42.381392,-83.003009
11/13/2017,5,42.383752,-83.004703
12/19/2017,2,42.397612,-83.174271
11/13/2017,4,42.405163,-82.975123
11/13/2017,4,42.40383,-82.973927
11/13/2017,4,42.403483,-82.973483
11/26/2017,4,42.41067,-82.974548
11/26/2017,4,42.410809,-82.974146
11/26/2017,4,42.411165,-82.973114
11/13/2017,7,42.378205,-83.176086
11/13/2017,7,42.371262,-83.175828
11/13/2017,7,42.371042,-83.175821
10/29/2017,2,42.403812,-83.176728
11/13/2017,3,42.395226,-83.005601
11/13/2017,7,42.376462,-83.179424
11/13/2017,7,42.377562,-83.179464
10/05/2017,7,42.393205,-83.183847
10/05/2017,7,42.393973,-83.183877
10/05/2017,2,42.396666,-83.183996
10/24/2017,2,42.39988,-83.184119
10/24/2017,2,42.40495,-83.184335
10/06/2017,2,42.405789,-83.18437
10/29/2017,2,42.406237,-83.166731
11/13/2017,2,42.400475,-83.166418
11/26/2017,4,42.417727,-82.969932
11/13/2017,2,42.40021,-83.166404
11/13/2017,2,42.398875,-83.166322
11/13/2017,7,42.36989,-83.193848
11/13/2017,7,42.374454,-83.187464
11/13/2017,7,42.374564,-83.18747
11/13/2017,5,42.380796,-83.003328
11/26/2017,5,42.379265,-83.002213
11/26/2017,5,42.378974,-83.002004
11/26/2017,5,42.378902,-83.001952
11/26/2017,5,42.375986,-82.999849
11/26/2017,5,42.375917,-82.9998
11/26/2017,5,42.375255,-82.999319
11/26/2017,5,42.374529,-82.998795
11/26/2017,4,42.409861,-82.975012
11/13/2017,4,42.407685,-82.981354
11/13/2017,4,42.407614,-82.981555
10/11/2017,7,42.376574,-83.207724
10/11/2017,7,42.374491,-83.207636
11/26/2017,4,42.410915,-82.96498
11/26/2017,4,42.422137,-82.957963
09/25/2017,1,42.404251,-83.185318
09/27/2017,1,42.406721,-83.185434
09/28/2017,1,42.406817,-83.185439
11/06/2017,4,42.404336,-82.987561
11/06/2017,4,42.404296,-82.987678
11/06/2017,4,42.403763,-82.98922
11/06/2017,4,42.403578,-82.989758
